Rank,Name,Symbol,Price (USD),Market Cap,Vol (24H),Total Vol,Chg (24H),Chg (7D),Dataset Availability
32,TRON,TRX,0.099001,$7.12B,$2.32B,1.80%,3.55%,-3.58%,TRUE
33,THETA,THETA,6.7686,$6.80B,$229.48M,0.18%,3.76%,4.88%,TRUE
34,Cosmos,ATOM,28.97,$6.62B,$453.24M,0.35%,7.34%,-8.02%,TRUE
35,Ethereum Classic,ETC,49.59,$6.56B,$690.05M,0.53%,4.29%,0.87%,TRUE
36,Dai,DAI,0.99644,$6.49B,$702.64M,0.54%,-0.38%,-0.21%,TRUE
37,Hedera,HBAR,0.35632,$6.46B,$164.73M,0.13%,8.07%,-1.36%,TRUE
38,The Sandbox,SAND,6.8638,$6.27B,$3.24B,2.51%,-3.03%,28.24%,TRUE
39,Bitcoin BEP2,BTCB,51054.22,$6.19B,$34.74M,0.03%,11.05%,3.00%,FALSE
40,Fantom,FTM,2.2667,$5.75B,$458.51M,0.36%,7.36%,-5.25%,TRUE
41,NEAR Protocol,NEAR,8.8437,$5.02B,$146.98M,0.11%,6.54%,-7.41%,TRUE
42,Tezos,XTZ,5.64328,$4.97B,$857.37M,0.66%,11.01%,11.21%,TRUE
43,The Graph,GRT,0.9463,$4.50B,$185.04M,0.14%,-1.33%,4.00%,TRUE
44,Gala,GALA,0.63975,$4.46B,$1.20B,0.93%,-5.52%,72.99%,FALSE
45,Helium,HNT,41.74,$4.46B,$36.18M,0.03%,3.91%,-3.98%,FALSE
46,Monero,XMR,245.728,$4.45B,$239.83M,0.19%,3.70%,6.15%,TRUE
47,EOS,EOS,4.1284,$4.04B,$879.35M,0.68%,4.63%,-0.50%,TRUE
48,IOTA,MIOTA,1.43752,$4.02B,$82.01M,0.06%,3.63%,1.96%,TRUE
49,Flow,FLOW,12.6777,$3.99B,$162.85M,0.13%,0.14%,-4.88%,FALSE
50,Loopring,LRC,2.88876,$3.84B,$496.23M,0.38%,0.35%,-13.15%,TRUE
51,Klaytn,KLAY,1.4985,$3.63B,$55.56M,0.04%,0.95%,-3.75%,FALSE
52,Aave,AAVE,261.41,$3.53B,$357.88M,0.28%,10.72%,-3.43%,TRUE
53,PancakeSwap,CAKE,14.28,$3.53B,$276.71M,0.21%,-0.34%,-5.55%,TRUE
54,Stacks,STX,2.754,$3.49B,$572.04M,0.44%,29.48%,31.65%,FALSE
55,UNUS SED LEO,LEO,3.4787,$3.30B,$3.31M,0%,1.55%,4.15%,FALSE
56,Kusama,KSM,382.4875,$3.24B,$167.71M,0.13%,6.07%,14.19%,TRUE
57,BitTorrent,BTT,0.003229,$3.21B,$469.43M,0.36%,1.60%,-0.03%,FALSE
58,Maker,MKR,3185.53,$3.18B,$182.51M,0.14%,4.73%,5.79%,TRUE
59,Enjin Coin,ENJ,3.61684,$3.06B,$434.61M,0.34%,-2.37%,-10.65%,TRUE
60,Harmony,ONE,0.26435,$3.06B,$131.47M,0.10%,0.56%,-7.89%,FALSE
61,Zcash,ZEC,223.95,$3.00B,$723.72M,0.56%,-8.97%,3.78%,TRUE
62,THORChain,RUNE,11.448,$2.97B,$83.98M,0.07%,7.17%,9.91%,TRUE
63,Bitcoin SV,BSV,153.45,$2.93B,$169.93M,0.13%,3.02%,-0.08%,TRUE
64,eCash,XEC,0.00015227,$2.89B,$53.88M,0.04%,2.19%,-5.77%,FALSE
65,Neo,NEO,38.776,$2.75B,$226.67M,0.18%,2.69%,-3.23%,TRUE
66,Kadena,KDA,17.0159,$2.71B,$47.93M,0.04%,2.24%,0.79%,TRUE
67,Chiliz,CHZ,0.4553,$2.71B,$440.71M,0.34%,-0.76%,3.79%,TRUE
68,Amp,AMP,0.06228,$2.68B,$80.03M,0.06%,-4.79%,-4.09%,FALSE
69,Quant,QNT,205.48,$2.51B,$67.03M,0.05%,1.46%,-15.09%,TRUE
70,Waves,WAVES,21.8944,$2.36B,$110.61M,0.09%,5.50%,5.42%,TRUE
71,Basic Attention Token,BAT,1.51669,$2.27B,$597.42M,0.46%,-2.57%,46.41%,TRUE
72,Holo,HOT,0.012494,$2.18B,$207.88M,0.16%,3.44%,-1.76%,FALSE
73,KuCoin Token,KCS,27.011,$2.16B,$50.57M,0.04%,8.12%,14.86%,FALSE
74,Curve DAO Token,CRV,4.8932,$2.14B,$423.66M,0.33%,4.04%,5.06%,TRUE
75,Arweave,AR,60.86,$2.05B,$78.16M,0.06%,5.46%,1.64%,TRUE
76,Dash,DASH,184.97,$1.94B,$296.76M,0.23%,2.90%,-1.97%,TRUE
77,SafeMoon,SAFEMOON,0,$1.84B,$11.94M,0.01%,6.44%,-3.28%,FALSE
78,Compound,COMP,294.3,$1.84B,$99.75M,0.08%,3.96%,3.63%,TRUE
79,Celo,CELO,5.2468,$1.82B,$58.71M,0.05%,3.98%,-1.24%,TRUE
80,Qtum,QTUM,16.7437,$1.67B,$646.13M,0.50%,7.48%,15.37%,TRUE
81,Theta Fuel,TFUEL,0.3078,$1.65B,$55.04M,0.04%,2.26%,-1.40%,TRUE
82,Huobi Token,HT,10.079,$1.61B,$116.55M,0.09%,1.94%,2.79%,FALSE
83,Immutable X,IMX,8.4891,$1.61B,$86.68M,0.07%,9.01%,5.49%,FALSE
84,NEM,XEM,0.17477,$1.58B,$87.37M,0.07%,2.02%,0.66%,TRUE
85,IoTeX,IOTX,0.160317,$1.55B,$107.56M,0.08%,3.39%,-13.43%,TRUE
86,Nexo,NEXO,2.75,$1.54B,$11.30M,0.01%,6.94%,0.26%,FALSE
87,OKB,OKB,25.069,$1.52B,$456.28M,0.35%,3.63%,4.23%,FALSE
88,Mina,MINA,4.835,$1.50B,$71.18M,0.06%,2.05%,9.62%,FALSE
89,Decred,DCR,106.3657,$1.45B,$9.70M,0.01%,1.91%,-0.18%,TRUE
90,Horizen,ZEN,116.8523,$1.38B,$125.47M,0.10%,4.13%,6.62%,TRUE
91,WAX,WAXP,0.703179,$1.30B,$126.33M,0.10%,-7.59%,-7.77%,TRUE
92,TrueUSD,TUSD,0.9992,$1.29B,$153.20M,0.12%,0.02%,-0.02%,TRUE
93,Ankr,ANKR,0.15536,$1.27B,$275.91M,0.21%,-0.50%,24.95%,TRUE
94,OMG Network,OMG,8.9895,$1.27B,$1.15B,0.89%,11.42%,-1.32%,TRUE
95,Audius,AUDIO,2.468,$1.26B,$45.03M,0.03%,3.18%,1.94%,FALSE
96,Illuvium,ILV,1910.57,$1.23B,$154.97M,0.12%,15.00%,66.25%,FALSE
97,ICON,ICX,1.74304,$1.21B,$74.13M,0.06%,1.01%,-15.05%,TRUE
98,APENFT,NFT,4.35E-06,$1.20B,$250.76M,0.19%,0.39%,-9.84%,FALSE
99,Siacoin,SC,0.02411,$1.20B,$120.92M,0.09%,-3.25%,20.68%,TRUE
100,Voyager Token,VGX,4.14,$1.15B,$27.46M,0.02%,2.05%,-16.73%,TRUE
